script	mc	sk	gloss	comparandum	family
密	mit	mil	三 'three'	Old Japanese mi1 'three'	Japonic
于次	hju-tshijH	wucho	五 'five'	Old Japanese itu 'five'	Japonic
難隱	nan-ʔɨnX	nanun	七 'seven'	Old Japanese nana 'seven'	Japonic
德	tok	tek	十 'ten'	Old Japanese to2wo 'ten'	Japonic
旦	tanH	tan	谷 'valley'	Old Japanese tani 'valley'	Japonic
頓	twon	twon	谷 'valley'	Old Japanese tani 'valley'	Japonic
吞	then	than	谷 'valley'	Old Japanese tani 'valley'	Japonic
烏斯含	ʔu-sje-hom	wosoham	兎 'rabbit'	Old Japanese usagi1 'rabbit'	Japonic
那勿	na-mjut	namwul	鉛 'lead'	Old Japanese namari 'lead'	Japonic
買	mɛX	may	川 'river', 水 'water'	Old Japanese mi1(du) 'water'	Japonic
也次	yæX-tshijH	yacho	母 'mother'	Middle Korean ezi 'mother, parent'	Koreanic
波兮	pa-hej	phahyey	巖/峴 'cliff'	Middle Korean pahwoy 'boulder'	Koreanic
波衣	pa-ʔjɨj	phauy	巖/峴 'cliff'	Middle Korean pahwoy 'boulder'	Koreanic
巴衣	pæ-ʔjɨj	phauy	巖/峴 'cliff'	Middle Korean pahwoy 'boulder'	Koreanic
別	pjet	pyel	重 '-fold, layer'	Middle Korean pol 'pile, layer'	Koreanic
首	syuwH	sywu	牛 'ox'	Middle Korean sywo 'ox'	Koreanic
內米	nwojH-mejX	naymi	池 'pool'	Tungusic *namu, *lamu 'lake, sea'	Tungusic
內	nwojH	nay	壌 'earth'	Manchu na 'earth'	Tungusic
那	na	na	壌 'earth'	Manchu na 'earth'	Tungusic
奴	nu	nwo	壌 'earth'	Manchu na 'earth'	Tungusic
波旦	pa-tanH	phatan	海 'sea'	Middle Korean patah/parʌl 'sea'	Koreanic
古斯	kuX-sje	kwoso	玉 'jade'	Middle Korean kuseul/guseul 'jade'	Koreanic
加支	kæ-tsye	kaci	菁→茄 'eggplant'	Middle Korean kaji/gaji 'eggplant'	Koreanic
忽	xwot	hwol	城 'castle'	Middle Korean kol/hol 'castle, city'	Koreanic
達	dat	tal	山, 高 'mountain, high'	Middle Korean tal/dar 'mountain, high'	Koreanic
皆(次)	keaj(-tshijH)	kaycho	王 'king'	Middle Korean kesi, kuija 'king'	Koreanic
居尸	kjo-syij	kesi	心 'heart, breast'	Middle Korean kasam, kaseum 'heart, breast'	Koreanic
功木	kuwŋ-muwk	kwongmwok	熊 'bear'	Middle Korean koma, kom, gom 'bear'	Koreanic
伐力	bjot-lik	pellyek	綠 'green'	Middle Korean paraha, puru, parak 'green'	Koreanic
今勿	kim-mjut	kummwul	黑 'black'	Middle Korean keom, geom 'black'	Koreanic
